SubscriptionName,PolicyName,RetentionDays,RetentionWeeks,RetentionMonths,RetentionYears,RunFreq,WorkloadType,IdSegment,RecoveryServicesVault,SnapshotRetentionDays,SnapshotType
Sub-MoogComm-Aircraft-Convergence-NonProd,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,rsv-gbaz1-convergence-backup-sb,null,
Sub-MoogComm-Aircraft-Convergence-NonProd,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,rsv-gbaz1-convergence-backup-sb,null,
Sub-MoogComm-Aircraft-Convergence-NonProd,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,rsv-gbaz1-convergence-backup-sb,null,
Sub-MoogComm-Corp-Analytics-NonProd,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-USAE2-Analytics-Backup-Dev,null,
Sub-MoogComm-Corp-Analytics-NonProd,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-USAE2-Analytics-Backup-Dev,null,
Sub-MoogComm-Corp-Analytics-NonProd,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-USAE2-Analytics-Backup-Dev,null,
Sub-MoogComm-Corp-Analytics-NonProd,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-USAE2-Analytics-Backup-NP,null,
Sub-MoogComm-Corp-Analytics-NonProd,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-USAE2-Analytics-Backup-NP,null,
Sub-MoogComm-Corp-Analytics-NonProd,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-USAE2-Analytics-Backup-NP,null,
Sub-MoogComm-Corp-Analytics-NonProd,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-USAE2-Analytics-Backup-SB,null,
Sub-MoogComm-Corp-Analytics-NonProd,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-USAE2-Analytics-Backup-SB,null,
Sub-MoogComm-Corp-Analytics-NonProd,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-USAE2-Analytics-Backup-SB,null,
Sub-MoogComm-Corp-Analytics-US-NonProd,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-USAE2-Analytics-Backup-US-NP,null,
Sub-MoogComm-Corp-Analytics-US-NonProd,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-USAE2-Analytics-Backup-US-NP,null,
Sub-MoogComm-Corp-Analytics-US-NonProd,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-USAE2-Analytics-Backup-US-NP,null,
Sub-MoogComm-Corp-Analytics-UK-NonProd,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-GBAZ1-Analytics-Backup-NP,null,
Sub-MoogComm-Corp-Analytics-UK-NonProd,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-GBAZ1-Analytics-Backup-NP,null,
Sub-MoogComm-Corp-Analytics-UK-NonProd,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-GBAZ1-Analytics-Backup-NP,null,
Subscription-Moog-Commercial-Dev/Test,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,rsv-usaz2-autotime-backup-np,null,
Subscription-Moog-Commercial-Dev/Test,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,rsv-usaz2-autotime-backup-np,null,
Subscription-Moog-Commercial-Dev/Test,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,rsv-usaz2-autotime-backup-np,null,
Subscription-Moog-Commercial-Dev/Test,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-USAZ2-Backup-IaaS,null,
Subscription-Moog-Commercial-Dev/Test,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-USAZ2-Backup-IaaS,null,
Subscription-Moog-Commercial-Dev/Test,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-USAZ2-Backup-IaaS,null,
Subscription-Moog-Commercial-Dev/Test,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,rsv-usae2-autotime-recovery-np,null,
Subscription-Moog-Commercial-Dev/Test,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,rsv-usae2-autotime-recovery-np,null,
Subscription-Moog-Commercial-Dev/Test,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,rsv-usae2-autotime-recovery-np,null,
Subscription-Moog-Commercial-Dev/Test,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-USAE2-Backup-IaaS,null,
Subscription-Moog-Commercial-Dev/Test,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-USAE2-Backup-IaaS,null,
Subscription-Moog-Commercial-Dev/Test,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-USAE2-Backup-IaaS,null,
Subscription-Moog-Commercial-Dev/Test,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,vault415,null,
Subscription-Moog-Commercial-Dev/Test,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,vault415,null,
Subscription-Moog-Commercial-Dev/Test,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,vault415,null,
Sub-MoogComm-Corp-Analytics-US-Prod,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-USAE2-Analytics-Backup,null,
Sub-MoogComm-Corp-Analytics-US-Prod,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-USAE2-Analytics-Backup,null,
Sub-MoogComm-Corp-Analytics-US-Prod,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-USAE2-Analytics-Backup,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-IEAZ1-Backup-IaaS,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-IEAZ1-Backup-IaaS,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-IEAZ1-Backup-IaaS,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-NLAW2-Backup-IaaS,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-NLAW2-Backup-IaaS,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-NLAW2-Backup-IaaS,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-NLAW2-MDG01,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-NLAW2-MDG01,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-NLAW2-MDG01,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-NLAW2-MDG-ASR01,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-NLAW2-MDG-ASR01,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-NLAW2-MDG-ASR01,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-NLAW2,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-NLAW2,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-NLAW2,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-SGAZ1-Vault1,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-SGAZ1-Vault1,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-SGAZ1-Vault1,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-SGAZ1-Vault2,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-SGAZ1-Vault2,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-SGAZ1-Vault2,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-SGAZ1-Vault1,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-SGAZ1-Vault1,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-SGAZ1-Vault1,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-SGAZ1-Vault2,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-SGAZ1-Vault2,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-SGAZ1-Vault2,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-SGAZ1-Backup-IaaS,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-SGAZ1-Backup-IaaS,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-SGAZ1-Backup-IaaS,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,vault603,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-AUAZ1-Backup-IaaS,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-AUAZ1-Backup-IaaS,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-AUAZ1-Backup-IaaS,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,rsv-usaz2-autotime-recovery,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,rsv-usaz2-autotime-recovery,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,rsv-usaz2-autotime-recovery,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-USAZ2-Backup-IaaS,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-USAZ2-Backup-IaaS,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-USAZ2-Backup-IaaS,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-USAZ2,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-USAZ2,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-USAZ2,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,rsv-usae2-autotime-backup,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,rsv-usae2-autotime-backup,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,rsv-usae2-autotime-backup,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-USAE2-Backup-IaaS,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-USAE2-Backup-IaaS,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-USAE2-Backup-IaaS,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG01,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG01,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG01,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR01,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR01,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR01,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR02,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR02,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR02,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR03,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR03,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR03,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR01,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR01,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR01,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR02,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR02,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR02,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR03,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR03,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR03,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR01,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR01,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR01,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR02,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR02,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR02,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR03,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR03,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-USAE2-MDG-ASR03,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-USAE2-Security-Backup,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-USAE2-Security-Backup,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-USAE2-Security-Backup,null,
Moog-Azure-IaaS,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-CAAZ1-Backup-IaaS,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-CAAZ1-Backup-IaaS,null,
Moog-Azure-IaaS,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-CAAZ1-Backup-IaaS,null,
Moog-Azure-IaaS,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-GBAZ1-Backup-IaaS,null,
