SubscriptionName,PolicyName,RetentionDays,RetentionMonths,SchedulePolicyType,ScheduleRunFrequency,WorkloadType,ResourceGroup,RecoveryServicesVault
Sub-MoogComm-Aircraft-Convergence-NonProd,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-GBAZ1-Convergence-Backup-SB,rsv-gbaz1-convergence-backup-sb
Sub-MoogComm-Aircraft-Convergence-NonProd,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-GBAZ1-Convergence-Backup-SB,rsv-gbaz1-convergence-backup-sb
Sub-MoogComm-Aircraft-Convergence-NonProd,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-GBAZ1-Convergence-Backup-SB,rsv-gbaz1-convergence-backup-sb
Sub-MoogComm-Corp-Analytics-NonProd,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Analytics-Backup-Dev,RSV-USAE2-Analytics-Backup-Dev
Sub-MoogComm-Corp-Analytics-NonProd,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Analytics-Backup-Dev,RSV-USAE2-Analytics-Backup-Dev
Sub-MoogComm-Corp-Analytics-NonProd,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Analytics-Backup-Dev,RSV-USAE2-Analytics-Backup-Dev
Sub-MoogComm-Corp-Analytics-NonProd,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Analytics-Backup-NP,RSV-USAE2-Analytics-Backup-NP
Sub-MoogComm-Corp-Analytics-NonProd,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Analytics-Backup-NP,RSV-USAE2-Analytics-Backup-NP
Sub-MoogComm-Corp-Analytics-NonProd,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Analytics-Backup-NP,RSV-USAE2-Analytics-Backup-NP
Sub-MoogComm-Corp-Analytics-NonProd,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Analytics-Backup-SB,RSV-USAE2-Analytics-Backup-SB
Sub-MoogComm-Corp-Analytics-NonProd,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Analytics-Backup-SB,RSV-USAE2-Analytics-Backup-SB
Sub-MoogComm-Corp-Analytics-NonProd,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Analytics-Backup-SB,RSV-USAE2-Analytics-Backup-SB
Sub-MoogComm-Corp-Analytics-US-NonProd,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Analytics-Backup-US-NP,RSV-USAE2-Analytics-Backup-US-NP
Sub-MoogComm-Corp-Analytics-US-NonProd,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Analytics-Backup-US-NP,RSV-USAE2-Analytics-Backup-US-NP
Sub-MoogComm-Corp-Analytics-US-NonProd,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Analytics-Backup-US-NP,RSV-USAE2-Analytics-Backup-US-NP
Sub-MoogComm-Corp-Analytics-UK-NonProd,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-GBAZ1-Analytics-Backup-NP,RSV-GBAZ1-Analytics-Backup-NP
Sub-MoogComm-Corp-Analytics-UK-NonProd,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-GBAZ1-Analytics-Backup-NP,RSV-GBAZ1-Analytics-Backup-NP
Sub-MoogComm-Corp-Analytics-UK-NonProd,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-GBAZ1-Analytics-Backup-NP,RSV-GBAZ1-Analytics-Backup-NP
Subscription-Moog-Commercial-Dev/Test,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAZ2-AutoTime-Backup-NP,rsv-usaz2-autotime-backup-np
Subscription-Moog-Commercial-Dev/Test,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAZ2-AutoTime-Backup-NP,rsv-usaz2-autotime-backup-np
Subscription-Moog-Commercial-Dev/Test,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAZ2-AutoTime-Backup-NP,rsv-usaz2-autotime-backup-np
Subscription-Moog-Commercial-Dev/Test,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAZ2-Backup-Recovery,RSV-USAZ2-Backup-IaaS
Subscription-Moog-Commercial-Dev/Test,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAZ2-Backup-Recovery,RSV-USAZ2-Backup-IaaS
Subscription-Moog-Commercial-Dev/Test,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAZ2-Backup-Recovery,RSV-USAZ2-Backup-IaaS
Subscription-Moog-Commercial-Dev/Test,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-AutoTime-Recovery-NP,rsv-usae2-autotime-recovery-np
Subscription-Moog-Commercial-Dev/Test,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-AutoTime-Recovery-NP,rsv-usae2-autotime-recovery-np
Subscription-Moog-Commercial-Dev/Test,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-AutoTime-Recovery-NP,rsv-usae2-autotime-recovery-np
Subscription-Moog-Commercial-Dev/Test,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Backup-Recovery,RSV-USAE2-Backup-IaaS
Subscription-Moog-Commercial-Dev/Test,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Backup-Recovery,RSV-USAE2-Backup-IaaS
Subscription-Moog-Commercial-Dev/Test,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Backup-Recovery,RSV-USAE2-Backup-IaaS
Subscription-Moog-Commercial-Dev/Test,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-Backup-Vault-RSV,vault415
Subscription-Moog-Commercial-Dev/Test,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-Backup-Vault-RSV,vault415
Subscription-Moog-Commercial-Dev/Test,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-Backup-Vault-RSV,vault415
Sub-MoogComm-Corp-Analytics-US-Prod,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Analytics-Backup,RSV-USAE2-Analytics-Backup
Sub-MoogComm-Corp-Analytics-US-Prod,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Analytics-Backup,RSV-USAE2-Analytics-Backup
Sub-MoogComm-Corp-Analytics-US-Prod,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Analytics-Backup,RSV-USAE2-Analytics-Backup
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-IEAZ1-Backup-Recovery,RSV-IEAZ1-Backup-IaaS
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-IEAZ1-Backup-Recovery,RSV-IEAZ1-Backup-IaaS
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-IEAZ1-Backup-Recovery,RSV-IEAZ1-Backup-IaaS
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-NLAW2-Backup-Recovery,RSV-NLAW2-Backup-IaaS
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-NLAW2-Backup-Recovery,RSV-NLAW2-Backup-IaaS
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-NLAW2-Backup-Recovery,RSV-NLAW2-Backup-IaaS
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-NLAW2-MDG-Backup,RSV-NLAW2-MDG01
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-NLAW2-MDG-Backup,RSV-NLAW2-MDG01
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-NLAW2-MDG-Backup,RSV-NLAW2-MDG01
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-NLAW2-PRD-MDG-Migration,RSV-NLAW2-MDG-ASR01
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-NLAW2-PRD-MDG-Migration,RSV-NLAW2-MDG-ASR01
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-NLAW2-PRD-MDG-Migration,RSV-NLAW2-MDG-ASR01
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-NLAW2-System,RSV-NLAW2
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-NLAW2-System,RSV-NLAW2
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-NLAW2-System,RSV-NLAW2
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault1
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault1
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault1
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault2
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault2
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault2
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault1
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault1
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault1
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault2
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault2
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault2
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-SGAZ1-Backup-Recovery,RSV-SGAZ1-Backup-IaaS
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-SGAZ1-Backup-Recovery,RSV-SGAZ1-Backup-IaaS
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-SGAZ1-Backup-Recovery,RSV-SGAZ1-Backup-IaaS
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-AUAZ1-Backup-Recovery,RSV-AUAZ1-Backup-IaaS
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-AUAZ1-Backup-Recovery,RSV-AUAZ1-Backup-IaaS
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-AUAZ1-Backup-Recovery,RSV-AUAZ1-Backup-IaaS
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAZ2-AutoTime-Recovery,rsv-usaz2-autotime-recovery
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAZ2-AutoTime-Recovery,rsv-usaz2-autotime-recovery
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAZ2-AutoTime-Recovery,rsv-usaz2-autotime-recovery
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAZ2-Backup-Recovery,RSV-USAZ2-Backup-IaaS
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAZ2-Backup-Recovery,RSV-USAZ2-Backup-IaaS
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAZ2-Backup-Recovery,RSV-USAZ2-Backup-IaaS
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAZ2-Systems,RSV-USAZ2
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAZ2-Systems,RSV-USAZ2
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAZ2-Systems,RSV-USAZ2
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-AutoTime-Backup,rsv-usae2-autotime-backup
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-AutoTime-Backup,rsv-usae2-autotime-backup
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-AutoTime-Backup,rsv-usae2-autotime-backup
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Backup-Recovery,RSV-USAE2-Backup-IaaS
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Backup-Recovery,RSV-USAE2-Backup-IaaS
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Backup-Recovery,RSV-USAE2-Backup-IaaS
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-MDG-Backup,RSV-USAE2-MDG01
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-MDG-Backup,RSV-USAE2-MDG01
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-MDG-Backup,RSV-USAE2-MDG01
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR01
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR01
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR01
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR02
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR02
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR02
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR03
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR03
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR03
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR01
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR01
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR01
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR02
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR02
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR02
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR03
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR03
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR03
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR01
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR01
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR01
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR02
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR02
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR02
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR03
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR03
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR03
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Security-Backup,RSV-USAE2-Security-Backup
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Security-Backup,RSV-USAE2-Security-Backup
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAE2-Security-Backup,RSV-USAE2-Security-Backup
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-CAAZ1-Backup-Recovery,RSV-CAAZ1-Backup-IaaS
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-CAAZ1-Backup-Recovery,RSV-CAAZ1-Backup-IaaS
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-CAAZ1-Backup-Recovery,RSV-CAAZ1-Backup-IaaS
Moog-Azure-IaaS,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-GBAZ1-Backup-Recovery,RSV-GBAZ1-Backup-IaaS
Moog-Azure-IaaS,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-GBAZ1-Backup-Recovery,RSV-GBAZ1-Backup-IaaS
Moog-Azure-IaaS,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-GBAZ1-Backup-Recovery,RSV-GBAZ1-Backup-IaaS
